iter	Passed	Remaining
0	0	425
1	0	344
2	0	326
3	1	309
4	1	296
5	1	298
6	2	298
7	2	292
8	2	290
9	2	286
10	3	286
11	3	284
12	3	283
13	4	281
14	4	280
15	4	280
16	4	279
17	5	279
18	5	277
19	5	275
20	5	274
21	6	273
22	6	273
23	6	271
24	6	270
25	7	269
26	7	268
27	7	270
28	8	269
29	8	265
30	8	264
31	8	265
32	9	264
33	9	264
34	9	262
35	9	262
36	10	261
37	10	259
38	10	259
39	10	258
40	11	258
41	11	258
42	11	257
43	11	257
44	12	257
45	12	256
46	12	255
47	12	255
48	13	254
49	13	254
50	13	253
51	13	252
52	14	252
53	14	251
54	14	251
55	14	250
56	15	249
57	15	249
58	15	248
59	15	249
60	16	248
61	16	248
62	16	247
63	16	247
64	17	247
65	17	246
66	17	245
67	17	245
68	18	244
69	18	244
70	18	243
71	18	241
72	19	241
73	19	241
74	19	241
75	19	241
76	20	240
77	20	240
78	20	240
79	20	240
80	21	239
81	21	239
82	21	238
83	21	238
84	22	237
85	22	237
86	22	237
87	22	237
88	23	237
89	23	236
90	23	236
91	23	235
92	24	234
93	24	234
94	24	234
95	24	233
96	25	233
97	25	233
98	25	233
99	25	232
100	26	232
101	26	232
102	26	231
103	26	231
104	27	230
105	27	230
106	27	230
107	27	229
108	28	229
109	28	229
110	28	228
111	28	227
112	28	227
113	29	226
114	29	226
115	29	226
116	29	226
117	30	225
118	30	225
119	30	225
120	30	224
121	31	224
122	31	223
123	31	223
124	31	223
125	32	222
126	32	221
127	32	220
128	32	220
129	32	220
130	33	219
131	33	218
132	33	218
133	33	218
134	34	218
135	34	217
136	34	217
137	34	217
138	35	217
139	35	216
140	35	216
141	35	216
142	36	216
143	36	215
144	36	215
145	36	215
146	37	215
147	37	213
148	37	213
149	37	213
150	37	213
151	38	212
152	38	212
153	38	212
154	39	213
155	39	213
156	39	213
157	40	213
158	40	213
159	40	213
160	40	212
161	41	212
162	41	212
163	41	212
164	42	212
165	42	213
166	42	213
167	43	213
168	43	213
169	43	213
170	43	212
171	44	212
172	44	212
173	44	211
174	44	211
175	45	211
176	45	211
177	45	210
178	45	210
179	46	210
180	46	210
181	46	209
182	46	209
183	47	209
184	47	208
185	47	208
186	47	208
187	48	207
188	48	207
189	48	207
190	48	206
191	48	205
192	49	205
193	49	205
194	49	204
195	49	204
196	50	204
197	50	203
198	50	203
199	50	202
200	51	202
201	51	202
202	51	202
203	51	202
204	51	201
205	52	201
206	52	201
207	52	200
208	52	200
209	53	200
210	53	199
211	53	199
212	54	199
213	54	199
214	54	199
215	54	199
216	55	199
217	55	198
218	55	198
219	55	198
220	56	197
221	56	197
222	56	197
223	56	196
224	57	196
225	57	196
226	57	196
227	57	195
228	58	195
229	58	195
230	58	195
231	59	196
232	59	196
233	59	196
234	60	196
235	60	195
236	60	195
237	60	195
238	61	194
239	61	194
240	61	194
241	61	194
242	62	193
243	62	193
244	62	193
245	62	192
246	63	192
247	63	192
248	63	191
249	63	191
250	64	191
251	64	190
252	64	190
253	64	190
254	64	189
255	65	189
256	65	189
257	65	188
258	65	188
259	66	188
260	66	187
261	66	187
262	66	187
263	67	186
264	67	186
265	67	186
266	67	186
267	68	185
268	68	185
269	68	185
270	68	185
271	69	184
272	69	184
273	69	184
274	69	184
275	70	184
276	70	184
277	71	184
278	71	184
279	71	184
280	72	186
281	73	186
282	73	186
283	73	186
284	74	186
285	74	186
286	74	185
287	75	185
288	75	185
289	75	185
290	75	184
291	76	184
